City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
1521230,Makīnsk,0,KZ,1596402581,54,52.63,70.42,69.1,5.75
5991888,Killam,4,CA,1596402581,49,52.78,-111.85,86.0,10.0
1485849,Yetkul',20,RU,1596402582,56,54.82,61.59,71.6,6.71
2656847,Atherton,100,GB,1596402582,55,53.52,-2.49,59.0,3.0
2136825,Isangel,6,VU,1596402582,66,-19.55,169.27,69.51,12.33
2897216,Hürth,75,DE,1596402583,64,50.87,6.87,70.0,5.82
503965,Pushkinskiye Gory,92,RU,1596402583,82,57.02,28.91,54.86,4.92
2112802,Hasaki,20,JP,1596402583,100,35.73,140.83,70.0,2.24
1171123,Mandi Bahauddin,0,PK,1596402584,57,32.58,73.48,89.71,4.99
1081790,Amboasary,0,MG,1596402584,75,-25.03,46.38,60.62,10.92
3936456,Lima,90,PE,1596402316,77,-12.04,-77.03,62.6,5.82
3530103,San Miguel de Cozumel,75,MX,1596402585,74,20.51,-86.95,87.8,6.93
5955902,Fort Nelson,40,CA,1596402585,47,58.81,-122.7,77.0,3.36
4032420,Neiafu,75,TO,1596402585,78,-18.65,-173.98,77.0,5.82
1636308,Manokwari,99,ID,1596402585,79,-0.87,134.08,78.49,3.58
1568574,Qui Nhon,97,VN,1596402585,74,13.77,109.23,81.21,5.97
2421273,Faranah,88,GN,1596402586,96,10.04,-10.74,68.86,7.43
6316343,Alta Floresta,20,BR,1596402586,24,-9.88,-56.09,95.0,6.93
1512019,Aksarka,100,RU,1596402586,63,66.56,67.8,64.0,12.97
606531,Boden,11,SE,1596402586,82,65.83,21.69,59.0,2.24
1295765,Sittwe,100,MM,1596402587,84,20.15,92.9,82.78,5.64
2240449,Luanda,12,AO,1596402587,83,-8.84,13.23,71.6,5.82
4036284,Alofi,81,NU,1596402587,73,-19.06,-169.92,77.0,8.05
990930,Kimberley,0,ZA,1596402587,23,-28.73,24.76,51.8,8.05
359792,Aswān,34,EG,1596402588,20,24.09,32.91,97.72,7.34
2362323,Bogandé,86,BF,1596402588,61,12.97,-0.14,83.84,13.2
3397983,Itaíba,33,BR,1596402436,79,-8.95,-37.42,68.52,12.48
2296606,Obuasi,34,GH,1596402588,88,6.21,-1.66,70.63,2.93
110690,Faya,68,SA,1596402589,77,18.39,42.45,68.0,5.68
1715335,Davila,100,PH,1596402589,78,18.47,120.58,81.1,10.33
60019,Eyl,0,SO,1596402589,64,7.98,49.82,79.86,22.64
3027487,Châlons-en-Champagne,98,FR,1596402589,63,48.95,4.37,64.4,6.93
1267433,Kattivākkam,90,IN,1596402589,88,13.22,80.32,77.0,8.05
1276067,Bhatkal,100,IN,1596402590,86,13.97,74.57,78.39,8.72
3598787,Champerico,40,GT,1596402590,67,14.3,-91.92,93.2,9.17
1803245,Lishui,4,CN,1596402590,89,28.46,119.91,74.88,1.54
3869716,Tocopilla,35,CL,1596402590,49,-22.09,-70.2,66.4,9.64
2827479,Stendal,99,DE,1596402591,85,52.6,11.85,64.99,1.01
172515,Abu Samrah,0,SY,1596402591,60,35.3,37.18,73.71,6.91
1529102,Ürümqi,100,CN,1596402591,47,43.8,87.6,82.99,2.24
2961459,Skibbereen,40,IE,1596402591,71,51.55,-9.27,57.2,9.17
1337619,Ugoofaaru,100,MV,1596402592,79,5.67,73.0,82.24,16.6
4007676,Pueblo Nuevo,55,MX,1596402592,54,23.38,-105.38,78.28,0.65
2088659,Panguna,74,PG,1596402592,95,-6.32,155.48,69.87,2.19
3698359,Chicama,14,PE,1596402593,58,-7.84,-79.15,72.07,10.0
503581,Pyaozerskiy,59,RU,1596402593,83,65.83,31.17,49.64,1.43
2371467,Mansôa,100,GW,1596402593,94,12.07,-15.32,77.14,4.76
2030065,Mandalgovi,58,MN,1596402483,75,45.76,106.27,56.26,17.67
5864145,Homer,75,US,1596402594,77,59.64,-151.55,60.8,4.7
2447513,Arlit,99,NE,1596402594,43,18.74,7.39,89.47,8.08
6331908,Milton,6,US,1596402594,55,34.13,-84.3,91.99,1.99
3671450,Inírida,32,CO,1596402594,87,3.87,-67.92,81.97,2.19
559654,Gorodishche,0,RU,1596402595,63,48.8,44.47,62.6,4.47
4142290,Dover,1,US,1596402546,55,39.16,-75.52,91.4,16.11
3573374,The Valley,20,AI,1596402595,74,18.22,-63.06,89.6,9.17
3855065,General Roca,4,AR,1596402595,41,-39.03,-67.58,60.8,9.17
2206874,Waipawa,88,NZ,1596402596,66,-41.41,175.52,51.8,9.17
4021858,Guerrero Negro,62,MX,1596402382,45,27.98,-114.06,85.98,16.17
102527,Sakakah,0,SA,1596402596,14,29.97,40.21,91.4,3.36
483650,Temyasovo,75,RU,1596402596,56,52.99,58.1,69.8,8.95
477940,Ust-Tsilma,100,RU,1596402597,92,65.44,52.15,53.96,2.3
3655185,Nueva Loja,40,EC,1596402597,52,0.08,-76.88,89.6,6.93
6150293,Smoky Lake,0,CA,1596402597,68,54.12,-112.47,77.9,12.8
1650232,Banjar,20,ID,1596402597,100,-8.19,114.97,75.2,1.12
6620339,Karratha,76,AU,1596402598,75,-20.74,116.85,67.28,7.27
2078025,Adelaide,100,AU,1596402598,93,-34.93,138.6,46.99,4.83
537158,Laishevo,75,RU,1596402598,87,55.4,49.55,59.0,4.47
3464724,Diamantino,0,BR,1596402326,24,-14.41,-56.45,88.21,5.12
3936088,Lluta,0,PE,1596402599,9,-16.01,-72.01,71.6,10.29
2274895,Monrovia,75,LR,1596402599,94,6.3,-10.8,77.0,9.17
525426,Sobolevo,38,RU,1596402599,85,54.43,31.9,51.44,2.59
3389822,Salinópolis,9,BR,1596402599,81,-0.61,-47.36,80.55,9.26
608324,Shetpe,0,KZ,1596402600,36,44.17,52.12,78.96,6.24
187725,Maralal,42,KE,1596402329,70,1.1,36.7,56.32,4.5
1847947,Shingū,96,JP,1596402600,89,33.73,135.98,74.55,2.62
3115056,Ondarroa,98,ES,1596402600,77,43.32,-2.42,69.01,1.99
2022572,Khatanga,33,RU,1596402600,76,71.97,102.5,61.0,5.08
5530022,San Angelo,1,US,1596402439,19,31.46,-100.44,100.4,11.41
3136023,Storsteinnes,20,NO,1596402601,87,69.24,19.23,55.4,12.75
1529376,Korla,86,CN,1596402601,59,41.76,86.15,80.01,1.99
